# Data from Gregory and O'Reilly, NASA R&M 3726 (1970)
# Reynolds number Re=2.88E+06
# Angle of attack alpha=10deg
# Data was digitized from a photocopy, hence is only approximate
# Data for the upper airfoil surface only
# [x/c] [Cp]
0 -3.66423
0.00218341 -5.04375
0.00873362 -5.24068
0.0131004 -4.67125
0.0174672 -4.32079
0.0480349 -2.74347
0.0742358 -2.26115
0.0982533 -1.95405
0.124454 -1.7345
0.146288 -1.55884
0.176856 -1.36109
0.28821 -1.00829
0.320961 -0.941877
0.384279 -0.787206
0.447598 -0.654432
0.515284 -0.543461
0.576419 -0.432633
0.637555 -0.343703
0.700873 -0.254725
0.766376 -0.1657
0.831878 -0.098572
0.893013 -0.00964205
0.958515 0.0793835
1 0.124088
