     X       NACA0012-Re= 2880000-Alpha=15.00         X       NACA0012-Re= 2880000-Alpha=10.00         X       NACA0012-Re= 2880000-Alpha= 5.00         X       NACA0012-Re= 2880000-Alpha= 0.00    
            1        0.09077853              1         0.2198752              1         0.2822609              1         0.2928386  
    0.9949608        0.09141359      0.9949608         0.2063776      0.9949608         0.2582746      0.9949608         0.2476993  
    0.9863841        0.09099113      0.9863841         0.1908065      0.9863841         0.2319061      0.9863841         0.2095248  
    0.9764595        0.09091823      0.9764595         0.1726878      0.9764595         0.2039314      0.9764595         0.1753606  
    0.9653693        0.09178128      0.9653693         0.1522187      0.9653693          0.175016      0.9653693         0.1452611  
    0.9535273        0.09360829      0.9535273          0.130104      0.9535273         0.1465802      0.9535273         0.1190835  
    0.9411976         0.0906444      0.9411976         0.1070044      0.9411976         0.1194104      0.9411976        0.09627492  
    0.9285636        0.08412202      0.9285636        0.08350439      0.9285636        0.09394238      0.9285636        0.07631018  
    0.9157699        0.07574669      0.9157699        0.06006928      0.9157699        0.07029446      0.9157699        0.05865952  
     0.902891         0.0656009       0.902891        0.03696778       0.902891        0.04834379       0.902891        0.04283442  
    0.8899632        0.05377965      0.8899632        0.01434169      0.8899632        0.02788389      0.8899632        0.02844407  
    0.8770092        0.04039456      0.8770092       -0.00773335      0.8770092       0.008712685      0.8770092        0.01520474  
    0.8640418        0.02557021      0.8640418       -0.02922316      0.8640418      -0.009341855      0.8640418       0.002920974  
    0.8510637       0.009445115      0.8510637       -0.05008391      0.8510637       -0.02635322      0.8510637      -0.008430802  
     0.838074      -0.007857208       0.838074       -0.07039825       0.838074       -0.04254643       0.838074       -0.01910514  
    0.8250795       -0.02621499      0.8250795       -0.09028723      0.8250795       -0.05816795      0.8250795        -0.0293919  
    0.8120834       -0.04546618      0.8120834        -0.1096858      0.8120834       -0.07313987      0.8120834       -0.03910655  
    0.7990815       -0.06548213      0.7990815        -0.1286422      0.7990815       -0.08754582      0.7990815       -0.04831746  
     0.786074        -0.0861617       0.786074        -0.1472751       0.786074        -0.1015597       0.786074       -0.05722091  
    0.7730633        -0.1074004      0.7730633        -0.1656434      0.7730633        -0.1152539      0.7730633       -0.06586883  
    0.7600509        -0.1291045      0.7600509        -0.1837927      0.7600509        -0.1286786      0.7600509       -0.07429261  
     0.747038        -0.1511888       0.747038        -0.2017523       0.747038        -0.1418605       0.747038       -0.08249987  
    0.7340239        -0.1735736      0.7340239        -0.2195236      0.7340239        -0.1547851      0.7340239       -0.09044341  
    0.7210062        -0.1962194      0.7210062        -0.2371688      0.7210062        -0.1675174      0.7210062       -0.09818204  
    0.7079881        -0.2191333      0.7079881         -0.254835      0.7079881        -0.1802404      0.7079881        -0.1059375  
    0.6949722        -0.2422408      0.6949722        -0.2724366      0.6949722        -0.1928192      0.6949722        -0.1135089  
    0.6819542        -0.2655161      0.6819542        -0.2899722      0.6819542        -0.2052322      0.6819542        -0.1208482  
    0.6689351        -0.2890357      0.6689351        -0.3076464      0.6689351        -0.2177306      0.6689351        -0.1282637  
    0.6559194        -0.3127729      0.6559194        -0.3254205      0.6559194        -0.2302434      0.6559194        -0.1356413  
    0.6429056        -0.3367107      0.6429056        -0.3432629      0.6429056        -0.2427133      0.6429056         -0.142894  
    0.6298938        -0.3608992      0.6298938         -0.361269      0.6298938        -0.2552478      0.6298938        -0.1501479  
    0.6168856        -0.3853342      0.6168856        -0.3794175      0.6168856        -0.2678036      0.6168856        -0.1573333  
    0.6038789        -0.4100248      0.6038789        -0.3977001      0.6038789        -0.2803515      0.6038789        -0.1643962  
    0.5908739         -0.435075      0.5908739        -0.4162746      0.5908739        -0.2930672      0.5908739        -0.1715382  
    0.5778741        -0.4605109      0.5778741        -0.4351524      0.5778741        -0.3059448      0.5778741        -0.1787324  
    0.5648801        -0.4863317      0.5648801        -0.4542983      0.5648801        -0.3189254      0.5648801        -0.1858943  
    0.5518912        -0.5125626      0.5518912        -0.4737198      0.5518912        -0.3320012      0.5518912        -0.1930018  
    0.5389069        -0.5392644      0.5389069        -0.4934758      0.5389069        -0.3452227      0.5389069        -0.2000974  
    0.5259286        -0.5665196      0.5259286        -0.5136561      0.5259286        -0.3586742      0.5259286        -0.2072618  
    0.5129584        -0.5943632      0.5129584        -0.5342735      0.5129584        -0.3723501      0.5129584        -0.2144687  
    0.4999975        -0.6228078      0.4999975        -0.5553078      0.4999975        -0.3862093      0.4999975        -0.2216537  
    0.4870444        -0.6518494      0.4870444        -0.5767084      0.4870444        -0.4001724      0.4870444        -0.2286994  
    0.4740987        -0.6816336      0.4740987        -0.5986446      0.4740987        -0.4144076      0.4740987        -0.2357749  
    0.4611634        -0.7122464      0.4611634        -0.6211907      0.4611634        -0.4289715      0.4611634        -0.2429096  
    0.4482403        -0.7436818      0.4482403        -0.6442888      0.4482403        -0.4437741      0.4482403        -0.2499601  
    0.4353288          -0.77597      0.4353288        -0.6679313      0.4353288        -0.4587814      0.4353288          -0.25684  
    0.4224278        -0.8092014      0.4224278        -0.6921843      0.4224278        -0.4740334      0.4224278        -0.2635214  
    0.4095403        -0.8435964      0.4095403        -0.7172903      0.4095403        -0.4897602      0.4095403        -0.2701736  
    0.3966698        -0.8791192      0.3966698         -0.743138      0.3966698         -0.505806      0.3966698        -0.2764804  
    0.3838145        -0.9157591      0.3838145        -0.7696466      0.3838145        -0.5220475      0.3838145        -0.2821063  
    0.3709754        -0.9537993      0.3709754        -0.7971192      0.3709754        -0.5387664      0.3709754        -0.2871264  
    0.3581563        -0.9932833      0.3581563        -0.8255329      0.3581563        -0.5558906      0.3581563         -0.291435  
    0.3453564         -1.034218      0.3453564        -0.8548096      0.3453564        -0.5732863      0.3453564        -0.2964673  
    0.3325772          -1.07698      0.3325772        -0.8853303      0.3325772        -0.5912913      0.3325772        -0.3097794  
    0.3198247         -1.121658      0.3198247        -0.9171069      0.3198247        -0.6098555      0.3198247        -0.3384522  
    0.3070989         -1.168152      0.3070989        -0.9499119      0.3070989        -0.6286823      0.3070989        -0.3419796  
    0.2943994         -1.216873      0.2943994        -0.9841225      0.2943994        -0.6480759      0.2943994        -0.3457705  
    0.2817313         -1.268119      0.2817313         -1.019955      0.2817313        -0.6681602      0.2817313        -0.3513187  
    0.2690982         -1.322006      0.2690982         -1.057392      0.2690982        -0.6888183      0.2690982        -0.3573905  
    0.2565026         -1.378871      0.2565026         -1.096658      0.2565026        -0.7101587      0.2565026        -0.3636412  
    0.2439493         -1.439097      0.2439493         -1.138001      0.2439493        -0.7322928      0.2439493        -0.3699176  
    0.2314433         -1.502971      0.2314433         -1.181529      0.2314433          -0.75518      0.2314433        -0.3760468  
     0.218989         -1.570954       0.218989         -1.227508       0.218989        -0.7789036       0.218989        -0.3819552  
    0.2065925          -1.64368      0.2065925         -1.276346      0.2065925        -0.8036422      0.2065925        -0.3876287  
    0.1942628         -1.721909      0.1942628         -1.328526      0.1942628        -0.8296096      0.1942628        -0.3930538  
    0.1820117         -1.806351      0.1820117         -1.384426      0.1820117        -0.8568807      0.1820117        -0.3981059  
    0.1698496          -1.89762      0.1698496         -1.444248      0.1698496         -0.885322      0.1698496        -0.4025339  
    0.1577895         -1.997016      0.1577895         -1.508807      0.1577895        -0.9152797      0.1577895        -0.4063515  
    0.1458536         -2.106234      0.1458536         -1.579201      0.1458536        -0.9472556      0.1458536        -0.4096014  
