Cd,T1_Al 0.00_M0.14_N9.0, , Cd,T1_Al 0.00_M0.14_N9.0, , Cd,T1_Al 0.00_M0.14_N9.0, , Cd,T1_Al 0.00_M0.14_N9.0, , Cd,T1_Al 0.00_M0.14_N9.0, , 
   0.01144766,     -1.132883, ,    0.01114246,     -1.118275, ,    0.01082913,     -1.059039, ,     0.0111933,       -1.0212, ,    0.01249439,    -0.9539419, , 
   0.01090964,     -1.089197, ,    0.01057095,     -1.053181, ,    0.01024345,     -1.018298, ,    0.01062081,    -0.9785899, ,    0.01184044,     -0.911214, , 
   0.00986858,    -0.9718165, ,    0.01000091,    -0.9953297, ,   0.009910877,    -0.9742245, ,    0.01025092,    -0.9308655, ,    0.01140389,    -0.8641509, , 
  0.009317911,    -0.9072034, ,   0.009549577,    -0.9364257, ,   0.009473866,    -0.9276418, ,   0.009739846,    -0.8871989, ,    0.01082799,    -0.8206526, , 
  0.008873635,    -0.8407558, ,   0.009085829,    -0.8855276, ,   0.009174755,     -0.876773, ,   0.009426542,    -0.8384779, ,    0.01037741,    -0.7753579, , 
  0.008387905,    -0.7792785, ,   0.008640029,    -0.8337805, ,   0.008819584,    -0.8265459, ,   0.009034394,    -0.7926626, ,    0.01004777,    -0.7265116, , 
    0.0079396,    -0.7184858, ,     0.0082766,    -0.7805583, ,   0.008490354,    -0.7755212, ,   0.008829482,    -0.7457451, ,   0.009649885,    -0.6818781, , 
  0.007565474,    -0.6639722, ,   0.007932424,    -0.7267531, ,   0.008274253,    -0.7218058, ,    0.00855019,    -0.7018229, ,   0.009419809,    -0.6311396, , 
  0.007208118,    -0.6102397, ,   0.007594446,    -0.6726189, ,   0.008007389,    -0.6690562, ,   0.008388732,    -0.6501972, ,   0.009055427,    -0.5852941, , 
  0.006870285,    -0.5564375, ,   0.007243962,    -0.6185292, ,   0.007754092,    -0.6157547, ,   0.008166309,    -0.5996414, ,    0.00887129,    -0.5357391, , 
   0.00653484,    -0.5022118, ,   0.006966378,     -0.563748, ,   0.007560316,    -0.5610861, ,   0.007972493,     -0.547267, ,   0.008642177,    -0.4866669, , 
  0.006248389,    -0.4471055, ,   0.006693345,    -0.5085495, ,   0.007407044,    -0.5058124, ,   0.007835394,    -0.4933571, ,   0.008425772,    -0.4398631, , 
  0.005963981,    -0.3923862, ,   0.006484177,    -0.4525872, ,   0.007224368,      -0.45078, ,    0.00766471,    -0.4410133, ,   0.008377701,     -0.393037, , 
  0.005532702,    -0.2814991, ,   0.006240945,    -0.3972974, ,   0.007069063,    -0.3956158, ,   0.007613233,    -0.3859027, ,    0.00821534,    -0.3531748, , 
  0.005351164,    -0.2254853, ,    0.00610326,    -0.3411277, ,    0.00696533,    -0.3395267, ,   0.007447358,    -0.3321245, ,   0.008219431,    -0.3043992, , 
  0.005227059,    -0.1694639, ,   0.005959776,    -0.2844559, ,   0.006904634,      -0.28305, ,   0.007375042,    -0.2767805, ,   0.008073834,    -0.2553773, , 
  0.005134607,    -0.1131759, ,   0.005812378,    -0.2280304, ,   0.006818804,    -0.2271564, ,   0.007337094,    -0.2221152, ,   0.008067994,    -0.2047096, , 
  0.005083318,   -0.05652513, ,   0.005739423,    -0.1711875, ,   0.006726335,    -0.1705064, ,   0.007236825,    -0.1669284, ,   0.007977878,    -0.1545327, , 
  0.005093421,  -8.95322e-10, ,    0.00570053,    -0.1142157, ,   0.006674689,    -0.1137357, ,    0.00722531,     -0.110608, ,   0.007979147,    -0.1028136, , 
  0.005083313,    0.05652553, ,   0.005633892,   -0.05719564, ,   0.006674915,   -0.05643421, ,   0.007209079,   -0.05617221, ,   0.007926704,   -0.05179847, , 
  0.005134595,     0.1131775, ,    0.00560902, -5.784645e-10, ,   0.006678508,  1.900739e-10, ,   0.007169702,  2.260652e-08, ,   0.007950161, -1.301084e-07, , 
  0.005227044,     0.1694676, ,   0.005633887,    0.05719612, ,   0.006674901,    0.05643511, ,   0.007209058,    0.05617342, ,   0.007926665,    0.05180094, , 
  0.005351147,      0.225492, ,   0.005700517,     0.1142177, ,    0.00667466,     0.1137392, ,    0.00722527,     0.1106132, ,   0.007979072,      0.102824, , 
  0.005532687,     0.2815097, ,   0.005739401,      0.171192, ,   0.006726289,     0.1705142, ,   0.007236761,     0.1669398, ,   0.007977769,     0.1545562, , 
    0.0057174,      0.336976, ,   0.005812357,     0.2280385, ,   0.006818745,     0.2271705, ,   0.007337016,     0.2221363, ,   0.008067857,     0.2047548, , 
  0.005964009,      0.392408, ,   0.005959771,     0.2844687, ,   0.006904586,     0.2830727, ,   0.007374969,     0.2768137, ,   0.008073691,     0.2554492, , 
  0.006248416,     0.4471347, ,    0.00610324,     0.3411466, ,   0.006965296,     0.3395594, ,   0.007447239,     0.3321735, ,   0.008219309,     0.3045125, , 
  0.006534951,      0.502248, ,   0.006240953,     0.3973236, ,      0.007069,     0.3956618, ,    0.00761314,      0.385972, ,   0.008215541,     0.3533993, , 
  0.006870405,     0.5564831, ,    0.00648421,     0.4526229, ,   0.007224293,     0.4508423, ,   0.007664638,     0.4411064, ,   0.008377844,     0.3933525, , 
   0.00720826,     0.6102929, ,   0.006693379,     0.5085957, ,   0.007407021,      0.505893, ,   0.007835263,     0.4934835, ,   0.008424983,     0.4401648, , 
   0.00756558,     0.6640296, ,   0.006966519,      0.563806, ,   0.007560402,     0.5611875, ,   0.007972473,     0.5474254, ,   0.008641054,     0.4870081, , 
  0.007939588,     0.7185454, ,   0.007244198,     0.6186011, ,   0.007754089,     0.6158845, ,   0.008166215,     0.5998488, ,   0.008869737,     0.5361387, , 
  0.008387727,     0.7793343, ,   0.007594712,     0.6727072, ,   0.008007376,     0.6692205, ,   0.008388909,     0.6504589, ,   0.009053503,     0.5857789, , 
  0.008873526,     0.8408427, ,   0.007932723,     0.7268587, ,   0.008274517,     0.7220047, ,   0.008550199,     0.7021587, ,   0.009417635,     0.6317013, , 
  0.009317637,     0.9072985, ,   0.008277015,     0.7806817, ,   0.008490615,     0.7757649, ,   0.008831075,     0.7463398, ,   0.009647046,     0.6825405, , 
  0.009868361,      0.971919, ,   0.008640396,     0.8339243, ,   0.008819755,     0.8268501, ,   0.009033683,      0.793228, ,    0.01004452,     0.7272644, , 
   0.01090805,      1.089028, ,   0.009086026,     0.8856908, ,   0.009175497,     0.8771351, ,   0.009425442,     0.8391082, ,    0.01037275,     0.7762216, , 
   0.01144616,      1.132781, ,   0.009549877,     0.9366058, ,    0.00947424,     0.9280866, ,   0.009738398,     0.8879033, ,    0.01082315,     0.8216601, , 
   0.01213536,      1.176924, ,    0.01000067,     0.9955004, ,   0.009912389,     0.9748527, ,    0.01024902,     0.9317231, ,    0.01139668,     0.8652997, , 
   0.01300384,      1.221523, ,    0.01057087,      1.053397, ,    0.01024388,       1.01907, ,    0.01061804,     0.9795393, ,     0.0118303,     0.9125484, , 
     0.013674,       1.26957, ,    0.01114183,      1.118518, ,    0.01082826,      1.059892, ,    0.01119019,       1.02228, ,     0.0124851,     0.9553584, , 
   0.01427264,      1.318627, ,    0.01171203,       1.18228, ,    0.01127626,      1.104165, ,     0.0117393,      1.066424, ,    0.01326235,     0.9954227, , 
   0.01493969,      1.366787, ,    0.01249857,      1.242855, ,    0.01194753,      1.141627, ,    0.01243157,      1.106302, ,    0.01391365,      1.039887, , 
   0.01575607,      1.412775, ,    0.01307413,      1.293666, ,    0.01258042,      1.180536, ,    0.01325892,      1.143709, ,    0.01495721,      1.076115, , 
   0.01682335,      1.454884, ,    0.01356432,      1.328305, ,    0.01332291,      1.227454, ,    0.01396022,      1.183958, ,    0.01602631,      1.113361, , 
   0.01814822,      1.492217, ,    0.01420287,      1.365448, ,    0.01444079,      1.280107, ,    0.01502531,      1.214649, ,    0.01696412,      1.154135, , 
    0.0196836,      1.522176, ,    0.01503772,      1.403035, ,     0.0153385,      1.335868, ,    0.01625966,      1.250278, ,    0.01851965,      1.182767, , 
   0.02150924,      1.540462, ,    0.01598722,      1.434626, ,    0.01634556,      1.358749, ,    0.01918957,       1.34615, ,    0.02017982,      1.210259, , 
    0.0239505,      1.552957, ,    0.01702822,      1.465752, ,    0.01773607,       1.38428, ,    0.02082607,      1.366814, ,    0.02153606,      1.242456, , 
   0.02738094,      1.557356, ,    0.01799459,       1.50059, ,    0.01909349,      1.416364, ,    0.02244991,       1.39544, ,    0.02339632,      1.269714, , 
   0.03236973,      1.552257, ,     0.0191362,       1.53335, ,    0.02056169,      1.448789, ,    0.02452722,      1.421236, ,    0.02600071,       1.29865, , 
   0.03974079,      1.535705, ,    0.02053852,      1.563642, ,    0.02244864,      1.475764, ,     0.0272714,      1.439988, ,    0.02859913,      1.335957, , 
   0.05008274,      1.505635, ,    0.02231739,      1.589649, ,     0.0249349,      1.496437, ,    0.03029281,      1.456824, ,    0.03090822,       1.36743, , 
   0.06330778,      1.461577, ,    0.02467404,      1.610339, ,    0.02783986,      1.514265, ,    0.03312952,      1.478739, ,    0.03383095,      1.379247, , 
   0.07922168,      1.405418, ,    0.02767761,      1.625318, ,    0.03059576,      1.535959, ,    0.03638359,      1.497019, ,    0.03762205,      1.386746, , 
   0.09677327,      1.341279, ,    0.03148576,      1.635333, ,    0.03368639,      1.555243, ,    0.04053786,      1.506005, ,    0.04148905,      1.396564, , 
    0.1160564,      1.272495, ,    0.03629208,      1.637966, ,    0.03748709,      1.568487, ,    0.04552212,      1.506741, ,    0.04506767,      1.411147, , 
    0.1354542,      1.206358, ,    0.04243224,      1.632213, ,    0.04208264,      1.574733, ,    0.05085185,      1.505183, ,     0.0492047,      1.420264, , 
    0.1552547,      1.146163, ,    0.05036825,      1.615247, ,    0.04749148,      1.573337, ,    0.05615791,       1.50643, ,    0.05419753,      1.421047, , 
    0.1753306,      1.090285, ,    0.06018543,      1.585883, ,    0.05381546,        1.5653, ,     0.0615597,      1.507873, ,    0.06014913,      1.412811, , 
    0.1991315,      1.029891, ,    0.07202548,       1.54551, ,    0.06103204,       1.55168, ,    0.06758736,      1.503669, ,    0.06614055,      1.405025, , 
    0.2492828,     0.9137672, ,    0.08595218,      1.492631, ,    0.06798754,      1.541764, ,    0.07435327,      1.492476, ,    0.07107727,      1.408715, , 
    0.2556024,     0.9281693, ,     0.1007179,      1.438389, ,    0.07502758,      1.530917, ,     0.0821447,      1.474252, ,    0.07708524,      1.403713, , 
    0.2989811,     0.9395686, ,      0.116817,      1.377291, ,     0.0827132,      1.516693, ,    0.09086594,      1.449344, ,    0.08386641,      1.392268, , 
    0.3043301,     0.9555062, ,     0.1335496,      1.317559, ,    0.09100992,      1.498751, ,    0.09993116,      1.422194, ,    0.09154615,      1.373132, , 
    0.3094149,     0.9713112, ,     0.1480583,      1.275177, ,    0.09996469,      1.476246, ,     0.1093806,      1.393298, ,    0.09849894,      1.359868, , 
, , ,     0.1617558,      1.239052, ,      0.109444,      1.449486, ,     0.1178957,      1.374441, ,     0.1068303,      1.336668, , 
, , ,     0.1766017,      1.201267, ,     0.1195822,      1.420558, ,     0.1241383,      1.373532, ,     0.1139587,      1.326049, , 
, , ,      0.186761,      1.189907, ,        0.1303,      1.389175, ,     0.1324659,       1.35752, ,     0.1190295,       1.33277, , 
, , ,     0.1986037,      1.172317, ,     0.1414086,      1.356707, ,     0.1412273,      1.338314, ,     0.1266265,      1.318912, , 
, , ,     0.2109061,      1.154746, ,     0.1525128,       1.32456, , , , ,      0.135197,      1.297609, , 

